""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Mainzlar.Mainzlar1"	"GrA-16041"	"bone"	"nd"	"Mainzlar"	"Bronze Age"	"Glockenbecher"	50.6667	8.7333	"14C"	3290	70	"Kiel DB 2806"	"bronzeage"	"bone"	0.05	"#3058e5"	3290
"Maisons-Alfort.Maisons-Alfort"	"Ly-9817"	"bone"	"human"	"Maisons-Alfort"	"Epipalaeolithic"	"nd"	48.82	2.41	"14C"	8890	100	"Bosset 2010"	"epipalaeolithic"	"bone"	-0.05	"#990033"	8890
"Maisons-Alfort.Maisons-Alfort1"	"Ly-9817"	"bone"	"human"	"Maisons-Alfort"	"Epipalaeolithic"	"nd"	48.82	2.41	"14C"	8890	100	"Bosset 2010"	"epipalaeolithic"	"bone"	0.05	"#3058e5"	8890
"Makotrasy.Makotrasy"	"KN-2506"	"nd"	"nd"	"Makotrasy"	"Neolithic"	"Baalberge"	50.1445	14.2147	"14C"	5500	180	"Breunig 1987, 142, 166"	"neolithic"	"unknown"	-0.05	"#990033"	5500
"Makotrasy.Makotrasy1"	"KN-2506"	"nd"	"nd"	"Makotrasy"	"Neolithic"	"Baalberge"	50.1445	14.2147	"14C"	5500	180	"Breunig 1987, 142, 166"	"neolithic"	"unknown"	0.05	"#3058e5"	5500
"Makotřasy.Makotřasy"	"GrN-7102"	"bone"	"nd"	"Makotřasy"	"Neolithic"	"Baalberge"	50.1445	14.2147	"14C"	5600	70	"Breunig 1987, 142, 166"	"neolithic"	"bone"	-0.05	"#990033"	5210
"Makotřasy.Makotřasy1"	"GrN-6928"	"nd"	"nd"	"Makotřasy"	"Neolithic"	"Baalberge"	50.1445	14.2147	"14C"	5210	180	"Kiel DB 2048"	"neolithic"	"unknown"	0.05	"#3058e5"	5600
"Makukh, lower Wadi.Makukh, lower Wadi"	"OxA-1928"	"organic"	"reeds/ rush"	"Makukh, lower Wadi"	"Chalcolithic"	"Chalc."	31.833	35.4166	"14C"	6100	100	"Housley 1994, 65"	"chalcolithic"	"other"	-0.05	"#990033"	1840
"Makukh, lower Wadi.Makukh, lower Wadi1"	"OxA-1929"	"wood"	"palm leave"	"Makukh, lower Wadi"	"Chalcolithic"	"Chalc."	31.833	35.4166	"14C"	1840	80	"Housley 1994, 65"	"chalcolithic"	"other"	0.05	"#3058e5"	6100
"Mala Triglavca.Mala Triglavca"	"OxA-15135"	"bone"	"red deer"	"Mala Triglavca"	"nd"	"nd"	45.6667	13.9667	"14C"	9460	40	"Mlekuz 2008"	"other"	"bone"	-0.05	"#990033"	4030
"Mala Triglavca.Mala Triglavca1"	"PoZ-15343"	"bone"	"capra"	"Mala Triglavca"	"nd"	"nd"	45.6667	13.9667	"14C"	4030	60	"Mlekuz 2008"	"other"	"bone"	0.05	"#3058e5"	9460
