""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Ais Giorkis.Ais Giorkis"	"Beta-213417"	"charred material"	"nd"	"Ais Giorkis"	"Neolithic"	"Cypro-PPNB"	34.7717	32.4303	"14C"	9710	110	"Simmons 2012"	"neolithic"	"other"	-0.05	"#990033"	1480
"Ais Giorkis.Ais Giorkis1"	"Beta-213416"	"charred material"	"nd"	"Ais Giorkis"	"Neolithic"	"nd"	34.7717	32.4303	"14C"	1480	60	"Simmons 2012"	"neolithic"	"other"	0.05	"#3058e5"	9710
"Aix-les-Bains.Aix-les-Bains"	"Ly-190"	"wood"	"nd"	"Aix-les-Bains"	"Neolithic"	"Saône-Rhône"	45.7	5.8833	"14C"	4580	180	"Breunig 1987, 206"	"neolithic"	"other"	-0.05	"#990033"	4580
"Aix-les-Bains.Aix-les-Bains1"	"Ly-190"	"wood"	"nd"	"Aix-les-Bains"	"Neolithic"	"Saône-Rhône"	45.7	5.8833	"14C"	4580	180	"Breunig 1987, 206"	"neolithic"	"other"	0.05	"#3058e5"	4580
"Aizpea.Aizpea"	"GrN-16620"	"bone"	"nd"	"Aizpea"	"Epipalaeolithic"	"Sauveterrian"	42.8768	-1.2862	"14C"	8570	90	"Gehlen 2010"	"epipalaeolithic"	"bone"	-0.05	"#990033"	7310
"Aizpea.Aizpea1"	"GrN-18421"	"nd"	"nd"	"Aizpea"	"Neolithic"	"nd"	42.8768	-1.2862	"14C"	7310	80	"Gehlen 2010"	"neolithic"	"unknown"	0.05	"#3058e5"	8570
"Ajmana.Ajmana"	"AA-58322"	"bone"	"human"	"Ajmana"	"nd"	"nd"	44.5937	22.7018	"14C"	8050	70	"Borić  2011"	"other"	"bone"	-0.05	"#990033"	7890
"Ajmana.Ajmana1"	"AA-58323"	"bone"	"human"	"Ajmana"	"nd"	"nd"	44.5937	22.7018	"14C"	7890	50	"Borić  2011"	"other"	"bone"	0.05	"#3058e5"	8050
"Ajvide.Ajvide"	"Ua-17296"	"bone"	"nd"	"Ajvide"	"Neolithic"	"Grübchenkeramik"	57.2817	18.1575	"14C"	5460	100	"Kiel DB 2013"	"neolithic"	"bone"	-0.05	"#990033"	3000
"Ajvide.Ajvide1"	"St-9247"	"charcoal"	"nd"	"Ajvide"	"Neolithic"	"Grübchenkeramik"	57.2817	18.1575	"14C"	3000	250	"Kiel DB 2013"	"neolithic"	"charcoal"	0.05	"#3058e5"	5460
"Ajvide B.Ajvide B"	"Ua-3251"	"bone"	"nd"	"Ajvide B"	"Neolithic"	"Grübchenkeramik"	57.2817	18.1575	"14C"	5770	90	"Kiel DB 2013"	"neolithic"	"bone"	-0.05	"#990033"	5770
"Ajvide B.Ajvide B1"	"Ua-3251"	"bone"	"nd"	"Ajvide B"	"Neolithic"	"Grübchenkeramik"	57.2817	18.1575	"14C"	5770	90	"Kiel DB 2013"	"neolithic"	"bone"	0.05	"#3058e5"	5770
"Ajvide D Ã¶vre.Ajvide D Ã¶vre"	"Ua-10431"	"bone"	"nd"	"Ajvide D Ã¶vre"	"Neolithic"	"Grübchenkeramik"	57.2817	18.1575	"14C"	5150	120	"Kiel DB 2013"	"neolithic"	"bone"	-0.05	"#990033"	4520
"Ajvide D Ã¶vre.Ajvide D Ã¶vre1"	"Ua-3791"	"bone"	"nd"	"Ajvide D Ã¶vre"	"Neolithic"	"Grübchenkeramik"	57.2817	18.1575	"14C"	4520	170	"Kiel DB 2013"	"neolithic"	"bone"	0.05	"#3058e5"	5150
"Akarcay Tepe.Akarcay Tepe"	"Beta-138548"	"charcoal"	"nd"	"Akarcay Tepe"	"Neolithic"	"MPPNB?"	36.92	38.02	"14C"	9740	100	"Arimura et al. 2000a, Balkan-Atlı et al. 2002, Thissen 2002a"	"neolithic"	"charcoal"	-0.05	"#990033"	8090
"Akarcay Tepe.Akarcay Tepe1"	"Beta-138585"	"charcoal"	"nd"	"Akarcay Tepe"	"Neolithic"	"PN"	36.92	38.02	"14C"	8090	60	"Arimura et al. 2000a, Balkan-Atlı et al. 2002, Thissen 2002a"	"neolithic"	"charcoal"	0.05	"#3058e5"	9740
"Aknashen-Khatunarkh.Aknashen-Khatunarkh"	"AA-68561"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7860	70	"Badalyan 2010"	"neolithic"	"unknown"	-0.05	"#990033"	7290
"Aknashen-Khatunarkh.Aknashen-Khatunarkh1"	"Ly-13664"	"nd"	"nd"	"Aknashen-Khatunarkh"	"Neolithic"	"nd"	40.1015	44.2941	"14C"	7290	80	"Badalyan 2010"	"neolithic"	"unknown"	0.05	"#3058e5"	7860
"Akrotiri.Akrotiri"	"P-2560"	"grain"	"nd"	"Akrotiri"	"Bronze  Age"	"nd"	36.3532	25.4223	"14C"	4440	110	"Fishman 1978"	"bronzeage"	"other"	-0.05	"#990033"	3540
"Akrotiri.Akrotiri1"	"P-2565"	"grain"	"nd"	"Akrotiri"	"Bronze  Age"	"nd"	36.3532	25.4223	"14C"	3540	70	"Fishman 1978"	"bronzeage"	"other"	0.05	"#3058e5"	4440
"Akrotiri-Aetokremnos.Akrotiri-Aetokremnos"	"UCLA-192"	"shell"	"nd"	"Akrotiri-Aetokremnos"	"Epipalaeolithic"	"Cypro-Epip."	34.5733	33	"14C"	13780	650	"Simmons 1991, 864"	"epipalaeolithic"	"other"	-0.05	"#990033"	4040
"Akrotiri-Aetokremnos.Akrotiri-Aetokremnos1"	"Pta-3435"	"bone"	"pgymy hippopotamus"	"Akrotiri-Aetokremnos"	"Epipalaeolithic"	"Cypro-Epip."	34.5733	33	"14C"	4040	90	"Simmons 1991, 683"	"epipalaeolithic"	"bone"	0.05	"#3058e5"	13780
"Akrotiri-Aetokremnos?.Akrotiri-Aetokremnos?"	"UCLA-307"	"nd"	"nd"	"Akrotiri-Aetokremnos?"	"Neolithic"	"MPPNB"	34.5733	33	"14C"	9780	310	"Peltenburg et al. 2000, 40"	"neolithic"	"unknown"	-0.05	"#990033"	9780
"Akrotiri-Aetokremnos?.Akrotiri-Aetokremnos?1"	"UCLA-307"	"nd"	"nd"	"Akrotiri-Aetokremnos?"	"Neolithic"	"MPPNB"	34.5733	33	"14C"	9780	310	"Peltenburg et al. 2000, 40"	"neolithic"	"unknown"	0.05	"#3058e5"	9780
"Aktopraklik.Aktopraklik"	"OxA-20596"	"bone"	"human"	"Aktopraklik"	"LN"	"LN"	40.1718	28.7277	"14C"	8270	50	"Lillie 2012"	"other"	"bone"	-0.05	"#990033"	7640
"Aktopraklik.Aktopraklik1"	"OxA-20597"	"bone"	"human"	"Aktopraklik"	"Ech"	"Ech"	40.1718	28.7277	"14C"	7640	30	"Lillie 2013"	"other"	"bone"	0.05	"#3058e5"	8270
"Alaca Höyük.Alaca Höyük"	"P-1434"	"nd"	"nd"	"Alaca Höyük"	"Bronze  Age"	"Amuq G"	40.14	35.03	"14C"	4840	100	"Lawn 1971, 371"	"bronzeage"	"unknown"	-0.05	"#990033"	4840
"Alaca Höyük.Alaca Höyük1"	"P-1434"	"nd"	"nd"	"Alaca Höyük"	"Bronze  Age"	"Amuq G"	40.14	35.03	"14C"	4840	100	"Lawn 1971, 371"	"bronzeage"	"unknown"	0.05	"#3058e5"	4840
"Alanya.Alanya"	"OxA-2233"	"bone"	"calotte"	"Alanya"	"Bronze  Age"	"BZ?"	36.5493	31.9999	"14C"	5660	70	"Housley 1994, 66"	"bronzeage"	"bone"	-0.05	"#990033"	5660
"Alanya.Alanya1"	"OxA-2233"	"bone"	"calotte"	"Alanya"	"Bronze  Age"	"BZ?"	36.5493	31.9999	"14C"	5660	70	"Housley 1994, 66"	"bronzeage"	"bone"	0.05	"#3058e5"	5660
"Alby.Alby"	"Ua-1522"	"charcoal"	"nd"	"Alby"	"nd"	"nd"	56.483	16.5667	"14C"	7830	110	""	"other"	"charcoal"	-0.05	"#990033"	2010
"Alby.Alby1"	"Ua-1201"	"bone"	"human"	"Alby"	"nd"	"nd"	56.483	16.5667	"14C"	2010	190	""	"other"	"bone"	0.05	"#3058e5"	7830
"Aldenhoven.Aldenhoven"	"KN-1489"	"charcoal"	"nd"	"Aldenhoven"	"Neolithic"	"Rössen"	50.8952	6.2828	"14C"	6620	70	"Breunig 1987, 175"	"neolithic"	"charcoal"	-0.05	"#990033"	6340
"Aldenhoven.Aldenhoven1"	"KN-1364"	"charcoal"	"nd"	"Aldenhoven"	"Neolithic"	"Rössen"	50.8952	6.2828	"14C"	6340	120	"Breunig 1987, 175"	"neolithic"	"charcoal"	0.05	"#3058e5"	6620
"Åle.Åle"	"K-5061"	"shell"	"nd"	"Åle"	"nd"	"Ertebølle"	56.8831	9.2333	"14C"	6520	110	""	"other"	"other"	-0.05	"#990033"	5890
"Åle.Åle1"	"K-5303"	"shell"	"nd"	"Åle"	"nd"	"Ertebølle"	56.8831	9.2333	"14C"	5890	100	""	"other"	"other"	0.05	"#3058e5"	6520
"Algutsrum.Algutsrum"	"Ua-22423"	"bone"	"nd"	"Algutsrum"	"Neolithic"	"Nordic Late Neolithic"	56.6833	16.5167	"14C"	3730	80	"Kiel DB 2013"	"neolithic"	"bone"	-0.05	"#990033"	3730
"Algutsrum.Algutsrum1"	"Ua-22423"	"bone"	"nd"	"Algutsrum"	"Neolithic"	"Nordic Late Neolithic"	56.6833	16.5167	"14C"	3730	80	"Kiel DB 2013"	"neolithic"	"bone"	0.05	"#3058e5"	3730
"Ali Agha.Ali Agha"	"P-1499"	"charcoal"	"nd"	"Ali Agha"	"PN"	"Hassuna"	36.45	43.82	"14C"	7770	70	"Lawn 1973, 372"	"other"	"charcoal"	-0.05	"#990033"	7770
"Ali Agha.Ali Agha1"	"P-1499"	"charcoal"	"nd"	"Ali Agha"	"PN"	"Hassuna"	36.45	43.82	"14C"	7770	70	"Lawn 1973, 372"	"other"	"charcoal"	0.05	"#3058e5"	7770
"Alibeg.Alibeg"	"Bln-1193"	"charcoal"	"nd"	"Alibeg"	"nd"	"nd"	44.5937	22.7018	"14C"	8030	100	"Borić  2011"	"other"	"charcoal"	-0.05	"#990033"	8030
"Alibeg.Alibeg1"	"Bln-1193"	"charcoal"	"nd"	"Alibeg"	"nd"	"nd"	44.5937	22.7018	"14C"	8030	100	"Borić  2011"	"other"	"charcoal"	0.05	"#3058e5"	8030
"Ali Kosh.Ali Kosh"	"I-1490"	"charcoal"	"nd"	"Ali Kosh"	"Neolithic"	"PPN"	32.55	47.32	"14C"	11540	300	"Hole et al. 1969, 338-340"	"neolithic"	"charcoal"	-0.05	"#990033"	7920
"Ali Kosh.Ali Kosh1"	"Beta-137020"	"bone"	"nd"	"Ali Kosh"	"Neolithic"	"nd"	32.55	47.32	"14C"	7920	70	"Marshall 2012"	"neolithic"	"bone"	0.05	"#3058e5"	11540
"Alisar Höyük.Alisar Höyük"	"C-183"	"nd"	"nd"	"Alisar Höyük"	"Bronze  Age"	"Amuq G"	39.51	35.11	"14C"	5160	310	"Science 113, 1951, 112"	"bronzeage"	"unknown"	-0.05	"#990033"	5160
"Alisar Höyük.Alisar Höyük1"	"C-183"	"nd"	"nd"	"Alisar Höyük"	"Bronze  Age"	"Amuq G"	39.51	35.11	"14C"	5160	310	"Science 113, 1951, 112"	"bronzeage"	"unknown"	0.05	"#3058e5"	5160
"Ali Tappeh.Ali Tappeh"	"GX-694"	"nd"	"nd"	"Ali Tappeh"	"nd"	"EP"	36.68	53.55	"14C"	13600	470	"McBurney 1968, 395-396"	"other"	"unknown"	-0.05	"#990033"	11950
"Ali Tappeh.Ali Tappeh1"	"GX-693"	"charcoal"	"nd"	"Ali Tappeh"	"nd"	"EP"	36.68	53.55	"14C"	11950	570	"McBurney 1968, 395-396"	"other"	"charcoal"	0.05	"#3058e5"	13600
"Aljmas.Aljmas"	"Z-3106"	"bone"	"steer"	"Aljmas"	"Neolithic"	"Baden"	45.5287	18.9475	"14C"	5090	160	"Obelic 2011"	"neolithic"	"bone"	-0.05	"#990033"	4600
"Aljmas.Aljmas1"	"Z-3105"	"shells"	"nd"	"Aljmas"	"Neolithic"	"Baden"	45.5287	18.9475	"14C"	4600	160	"Obelic 2011"	"neolithic"	"other"	0.05	"#3058e5"	5090
"Alleshausen.Alleshausen"	"Hd-14660"	"nd"	"nd"	"Alleshausen"	"Neolithic"	"Goldberg III"	48.1	9.6167	"14C"	4820	80	"Schlichtherle 1999, 38 Abb. 4"	"neolithic"	"unknown"	-0.05	"#990033"	4720
"Alleshausen.Alleshausen1"	"Hd-11751"	"nd"	"nd"	"Alleshausen"	"Neolithic"	"Horgen"	48.1	9.6167	"14C"	4720	80	"Müller 1991, 354"	"neolithic"	"unknown"	0.05	"#3058e5"	4820
"al-Madar (Point 69).al-Madar (Point 69)"	"Ly-3280"	"shell"	"seashell div."	"al-Madar (Point 69)"	"nd"	"ABT"	25.52	55.54	"14C"	6730	210	"--"	"other"	"other"	-0.05	"#990033"	6730
"al-Madar (Point 69).al-Madar (Point 69)1"	"Ly-3280"	"shell"	"seashell div."	"al-Madar (Point 69)"	"nd"	"ABT"	25.52	55.54	"14C"	6730	210	"--"	"other"	"other"	0.05	"#3058e5"	6730
"Al-Magass.Al-Magass"	"Bln-5252"	"charcoal"	"nd"	"Al-Magass"	"Chalcolithic"	"Chalc."	29.57	35.02	"14C"	6230	40	"Klimscha"	"chalcolithic"	"charcoal"	-0.05	"#990033"	5600
"Al-Magass.Al-Magass1"	"Bln-5121"	"charcoal"	"nd"	"Al-Magass"	"Chalcolithic"	"Chalc."	29.57	35.02	"14C"	5600	30	"Görsdorf 2002b"	"chalcolithic"	"charcoal"	0.05	"#3058e5"	6230
"Almere-\"Hoge Vaart\".Almere-\"Hoge Vaart\""	"UtC-5709"	"charcoal"	"nd"	"Almere-\"Hoge Vaart\""	"Epipalaeolithic"	"nd"	52.4445	5.4979	"14C"	8580	80	"Peeters 2007"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	6130
"Almere-\"Hoge Vaart\".Almere-\"Hoge Vaart\"1"	"UtC-5714"	"wood"	"nd"	"Almere-\"Hoge Vaart\""	"Epipalaeolithic"	"nd"	52.4445	5.4979	"14C"	6130	90	"Peeters 2007"	"epipalaeolithic"	"other"	0.05	"#3058e5"	8580
"Almere-Hout \"Zwaanpad\".Almere-Hout \"Zwaanpad\""	"GrN-28889"	"charcoal"	"nd"	"Almere-Hout \"Zwaanpad\""	"Epipalaeolithic"	"nd"	52.3219	5.2066	"14C"	9570	60	"Niekus 2005/2006"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	8080
"Almere-Hout \"Zwaanpad\".Almere-Hout \"Zwaanpad\"1"	"UtC-12799"	"charcoal"	"nd"	"Almere-Hout \"Zwaanpad\""	"Epipalaeolithic"	"nd"	52.3219	5.2066	"14C"	8080	60	"Niekus 2005/2006"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	9570
"Almere-Zenit .Almere-Zenit "	"UtC-13404"	"charcoal"	"hazelnut"	"Almere-Zenit "	"Epipalaeolithic"	"nd"	52.355	5.2296	"14C"	10020	110	"Niekus 2005/2006"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	9710
"Almere-Zenit .Almere-Zenit 1"	"UtC-13403"	"charcoal"	"hazelnut"	"Almere-Zenit "	"Epipalaeolithic"	"nd"	52.355	5.2296	"14C"	9710	120	"Niekus 2005/2006"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	10020
"Al Qassimiya.Al Qassimiya"	"Ly-3953"	"shell"	"Saccostrea cucullata"	"Al Qassimiya"	"nd"	"ABT"	25.37	55.4	"14C"	6810	150	"--"	"other"	"other"	-0.05	"#990033"	6610
"Al Qassimiya.Al Qassimiya1"	"Ly-3954"	"shell"	"Saccostrea cucullata"	"Al Qassimiya"	"nd"	"ABT"	25.37	55.4	"14C"	6610	130	"--"	"other"	"other"	0.05	"#3058e5"	6810
"Alsleben.Alsleben"	"Bln-3690"	"bone"	"nd"	"Alsleben"	"Neolithic"	"Baalberge"	51.7	11.6667	"14C"	5490	110	"Döhle et al. 1992, 54"	"neolithic"	"bone"	-0.05	"#990033"	5490
"Alsleben.Alsleben1"	"Bln-3690"	"bone"	"nd"	"Alsleben"	"Neolithic"	"Baalberge"	51.7	11.6667	"14C"	5490	110	"Döhle et al. 1992, 54"	"neolithic"	"bone"	0.05	"#3058e5"	5490
"Altanagh.Altanagh"	"GrN-10557"	" nd"	"nd"	"Altanagh"	"Neolithic"	"nd"	54.568	-7.0367	"14C"	5270	160	"H623693"	"neolithic"	"unknown"	-0.05	"#990033"	4200
"Altanagh.Altanagh1"	"GrN-11447"	"charcoal"	"nd"	"Altanagh"	"Bronze Age"	"Beaker"	54.568	-7.0367	"14C"	4200	170	"H623693"	"bronzeage"	"charcoal"	0.05	"#3058e5"	5270
"Alt Chrysal.Alt Chrysal"	"GU-3922"	"charcoal"	"nd"	"Alt Chrysal"	"nd"	"nd"	56.9485	-7.5241	"14C"	5540	70	"Ashmore, 2004"	"other"	"charcoal"	-0.05	"#990033"	5540
"Alt Chrysal.Alt Chrysal1"	"GU-3922"	"charcoal"	"nd"	"Alt Chrysal"	"nd"	"nd"	56.9485	-7.5241	"14C"	5540	70	"Ashmore, 2004"	"other"	"charcoal"	0.05	"#3058e5"	5540
"Altenbochum.Altenbochum"	"H-1748/1207"	"charcoal"	"nd"	"Altenbochum"	"Neolithic"	"Linienbandkeramik"	51.5	4.5839	"14C"	6730	270	"Breunig 127"	"neolithic"	"charcoal"	-0.05	"#990033"	6730
"Altenbochum.Altenbochum1"	"H-1748/1207"	"charcoal"	"nd"	"Altenbochum"	"Neolithic"	"Linienbandkeramik"	51.5	4.5839	"14C"	6730	270	"Breunig 127"	"neolithic"	"charcoal"	0.05	"#3058e5"	6730
"Altendorf.Altendorf"	"UtC--3325"	"bone"	"nd"	"Altendorf"	"Neolithic"	"Wartberg"	51.2167	9.2	"14C"	5140	120	"Raetzel-Fabian 2000a, 155"	"neolithic"	"bone"	-0.05	"#990033"	5140
"Altendorf.Altendorf1"	"UtC--3325"	"bone"	"nd"	"Altendorf"	"Neolithic"	"Wartberg"	51.2167	9.2	"14C"	5140	120	"Raetzel-Fabian 2000a, 155"	"neolithic"	"bone"	0.05	"#3058e5"	5140
"Alton Longville.Alton Longville"	"OxA-4606"	"antler"	"red deer"	"Alton Longville"	"Epipalaeolithic"	"nd"	52.5563	-0.2902	"14C"	8850	130	"Oxford Date List 26"	"epipalaeolithic"	"other"	-0.05	"#990033"	8850
"Alton Longville.Alton Longville1"	"OxA-4606"	"antler"	"red deer"	"Alton Longville"	"Epipalaeolithic"	"nd"	52.5563	-0.2902	"14C"	8850	130	"Oxford Date List 26"	"epipalaeolithic"	"other"	0.05	"#3058e5"	8850
"Alvastra.Alvastra"	"Ua-16634"	"bone"	"nd"	"Alvastra"	"Neolithic"	"nd"	58.3	14.65	"14C"	8320	130	"Kiel DB 2013"	"neolithic"	"bone"	-0.05	"#990033"	1800
"Alvastra.Alvastra1"	"Ua-14626"	"bone"	"nd"	"Alvastra"	"Neolithic"	"nd"	58.3	14.65	"14C"	1800	90	"Kiel DB 2013"	"neolithic"	"bone"	0.05	"#3058e5"	8320
"Al Zèpe.Al Zèpe"	"Lv-1691"	"charcoal"	"nd"	"Al Zèpe"	"Neolithic"	"Linienbandkeramik"	50.7125	5.2814	"14C"	7410	80	"Gilot, 1997; Cahen e.a., 1990"	"neolithic"	"charcoal"	-0.05	"#990033"	7070
"Al Zèpe.Al Zèpe1"	"Lv-1689"	"charcoal"	"nd"	"Al Zèpe"	"Neolithic"	"Linienbandkeramik"	50.7125	5.2814	"14C"	7070	200	"Gilot, 1997; Cahen e.a., 1990"	"neolithic"	"charcoal"	0.05	"#3058e5"	7410
"Ã…mÃ¸lle.Ã…mÃ¸lle"	"AAR-7216"	"shell"	"nd"	"Ã…mÃ¸lle"	"Neolithic"	"nd"	56.6824	10.1097	"14C"	7660	50	"Kiel DB 3568"	"neolithic"	"other"	-0.05	"#990033"	7300
"Ã…mÃ¸lle.Ã…mÃ¸lle1"	"AAR-7218"	"shell"	"nd"	"Ã…mÃ¸lle"	"nd"	"nd"	56.6824	10.1097	"14C"	7300	60	"Kiel DB 3570"	"other"	"other"	0.05	"#3058e5"	7660
"Amersfoort.Amersfoort"	"GrN-19260"	"charcoal"	"nd"	"Amersfoort"	"nd"	"nd"	52.1566	5.3888	"14C"	10210	20	"Lanting & van der Plicht 1997/1998"	"other"	"charcoal"	-0.05	"#990033"	8940
"Amersfoort.Amersfoort1"	"GrN-19258"	"charcoal"	"nd"	"Amersfoort"	"nd"	"nd"	52.1566	5.3888	"14C"	8940	110	"Lanting & van der Plicht 1997/1998"	"other"	"charcoal"	0.05	"#3058e5"	10210
"Ä†mielow.Ä†mielow"	"H-566-492"	"nd"	"nd"	"Ä†mielow"	"Neolithic"	"Trichterbecher-East Group"	50.8914	21.5084	"14C"	5470	120	"Kiel DB 3904"	"neolithic"	"unknown"	-0.05	"#990033"	5470
"Ä†mielow.Ä†mielow1"	"H-566-492"	"nd"	"nd"	"Ä†mielow"	"Neolithic"	"Trichterbecher-East Group"	50.8914	21.5084	"14C"	5470	120	"Kiel DB 3904"	"neolithic"	"unknown"	0.05	"#3058e5"	5470
"Ammern.Ammern"	"Hd-17332"	"bone"	"nd"	"Ammern"	"Neolithic"	"Bernburg"	51.2333	16.711	"14C"	4720	80	"Raetzel-Fabian 2000a, 156"	"neolithic"	"bone"	-0.05	"#990033"	4720
"Ammern.Ammern1"	"Hd-17332"	"bone"	"nd"	"Ammern"	"Neolithic"	"Bernburg"	51.2333	16.711	"14C"	4720	80	"Raetzel-Fabian 2000a, 156"	"neolithic"	"bone"	0.05	"#3058e5"	4720
"Ammersbuch-Reusten.Ammersbuch-Reusten"	"GrN-10974"	"bone"	"nd"	"Ammersbuch-Reusten"	"Neolithic"	"Michelsberg"	48.5422	8.92	"14C"	5610	30	"Kiel DB 2115"	"neolithic"	"bone"	-0.05	"#990033"	5610
"Ammersbuch-Reusten.Ammersbuch-Reusten1"	"GrN-10974"	"bone"	"nd"	"Ammersbuch-Reusten"	"Neolithic"	"Michelsberg"	48.5422	8.92	"14C"	5610	30	"Kiel DB 2115"	"neolithic"	"bone"	0.05	"#3058e5"	5610
"Amosen.Amosen"	"K-571 "	"wood"	"pinus"	"Amosen"	"Epipalaeolithic"	"Kongemose"	55.55	11.627	"14C"	9900	200	"Copenhagen datelist 7, pp.227-8 (Radiocarbon, 8 (1966): 213-34): Jørgensen 1956, 1961.  K-571[a-b] averaged: 8830 +/-110 (K-571)"	"epipalaeolithic"	"other"	-0.05	"#990033"	9340
"Amosen.Amosen1"	"K-570"	"charcoal"	"nd"	"Amosen"	"Epipalaeolithic"	"Kongemose"	55.55	11.627	"14C"	9340	170	"Copenhagen datelist 7, pp.227-8 (Radiocarbon, 8 (1966): 213-34): Jørgensen 1956, 1961."	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	9900
"Åmosen bog.Åmosen bog"	"K-1528 "	"charcoal"	"hazelnut"	"Åmosen bog"	"Epipalaeolithic"	"Kongemose"	55.55	11.627	"14C"	8360	130	"Copenhagen datelist 10, pp.89-90 (Radiocarbon, 15 (1973): 86-112): Jørgensen 1956, 1961.  * K-1528[a-b] averaged to form \"7560 +/-120 BP (K-1528)\"."	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	7690
"Åmosen bog.Åmosen bog1"	"K-1527 "	"peat "	"nd"	"Åmosen bog"	"Epipalaeolithic"	"Kongemose"	55.55	11.627	"14C"	7690	110	"Copenhagen datelist 10, pp.89-90 (Radiocarbon, 15 (1973): 86-112): Jørgensen 1956, 1961.  * K-1527[a-b] averaged to form \"6820 +/-120 BP (K-1527)\"."	"epipalaeolithic"	"other"	0.05	"#3058e5"	8360
"An Corran.An Corran"	"OxA-14752"	"bone"	"Bos taurus"	"An Corran"	"Epipalaeolithic"	"nd"	57.6368	-6.2042	"14C"	8400	40	"Bronk Ramsey 2009"	"epipalaeolithic"	"bone"	-0.05	"#990033"	4300
"An Corran.An Corran1"	"AA-27743"	"bone"	"human"	"An Corran"	"nd"	"nd"	57.6368	-6.2042	"14C"	4300	100	"Hardy 2003"	"other"	"bone"	0.05	"#3058e5"	8400
"Ängås.Ängås"	"St-4164"	"charcoal"	"nd"	"Ängås"	"nd"	"nd"	58.15	11.81	"14C"	5830	170	""	"other"	"charcoal"	-0.05	"#990033"	3050
"Ängås.Ängås1"	"nd"	"charcoal"	"nd"	"Ängås"	"nd"	"nd"	58.15	11.81	"14C"	3050	160	""	"other"	"charcoal"	0.05	"#3058e5"	5830
"Ã„ngÃ¥s.Ã„ngÃ¥s"	"GrA-17860"	"food remains"	"nd"	"Ã„ngÃ¥s"	"Neolithic"	"Trichterbecher-North Group"	58.15	11.8167	"14C"	5730	360	"Kiel DB 2013"	"neolithic"	"other"	-0.05	"#990033"	4950
"Ã„ngÃ¥s.Ã„ngÃ¥s1"	"GrA-18510"	"food remains"	"nd"	"Ã„ngÃ¥s"	"Neolithic"	"nd"	58.15	11.8167	"14C"	4950	90	"Kiel DB 2013"	"neolithic"	"other"	0.05	"#3058e5"	5730
"Ängdala.Ängdala"	"Lu-1636"	"charcoal"	"nd"	"Ängdala"	"Neolithic"	"nd"	55.5904	13.1191	"14C"	5810	80	"Kiel DB 2013"	"neolithic"	"charcoal"	-0.05	"#990033"	2900
"Ängdala.Ängdala1"	"Lu-2508"	"charcoal"	"nd"	"Ängdala"	"Neolithic"	"nd"	55.5904	13.1191	"14C"	2900	60	"Kiel DB 2013"	"neolithic"	"charcoal"	0.05	"#3058e5"	5810
"Angelslo.Angelslo"	"GrN-4200"	"charcoal"	"nd"	"Angelslo"	"Neolithic"	"Trichterbecher-West Group"	52.7817	6.9167	"14C"	5060	150	"Lanting/Mook 1977, 78; Brindley 1986, 105."	"neolithic"	"charcoal"	-0.05	"#990033"	3760
"Angelslo.Angelslo1"	"GrN-5187"	"charcoal"	"nd"	"Angelslo"	"Bronze Age"	"Stacheldrahtkeramik"	52.7817	6.9167	"14C"	3760	50	"Lanting/Mook 1977, 97."	"bronzeage"	"charcoal"	0.05	"#3058e5"	5060
"Angersbach.Angersbach"	"H-1036/1396"	"charcoal"	"nd"	"Angersbach"	"Bronze  Age"	"Schnurkeramik"	50.6273	9.445	"14C"	4630	130	"Breunig 1987, 189"	"bronzeage"	"charcoal"	-0.05	"#990033"	4630
"Angersbach.Angersbach1"	"H-1036/1396"	"charcoal"	"nd"	"Angersbach"	"Bronze  Age"	"Schnurkeramik"	50.6273	9.445	"14C"	4630	130	"Breunig 1987, 189"	"bronzeage"	"charcoal"	0.05	"#3058e5"	4630
"Anlo.Anlo"	"GrN-1980"	"charcoal"	"nd"	"Anlo"	"Epipalaeolithic"	"nd"	53.0361	6.7189	"14C"	10380	100	"Groningen IV"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	3900
"Anlo.Anlo1"	"GrN-1977"	"charcoal"	"nd"	"Anlo"	"Bronze Age"	"Frühbronzezeit"	53.0361	6.7189	"14C"	3900	130	"Lanting/Mook 1977, 98."	"bronzeage"	"charcoal"	0.05	"#3058e5"	10380
"Annaghkeen.Annaghkeen"	"OxA-2665"	"bone"	"human"	"Annaghkeen"	"nd"	"nd"	53.45	-9.1666	"14C"	3710	100	"Oxford Datelist"	"other"	"bone"	-0.05	"#990033"	3710
